date,incidence_rate
2017-09-11,0.0007105
2017-09-18,0.0016428
2017-09-25,0.0013854
2017-10-02,0.0006629
2017-10-09,0.0014149
2017-10-16,0.0011899
2017-10-23,0.0021011
2017-10-30,0.0007191
2017-11-06,0.0008536
2017-11-13,0.0011511
2017-11-20,0.0017148
2017-11-27,0.0017303
2017-12-04,0.0012504
2017-12-11,0.0010019
2017-12-18,0.0010575
2017-12-25,0.0012044
2018-01-01,0.001613
2018-01-08,0.0016883
2018-01-15,0.0007434
2018-01-22,0.0007623
2018-01-29,0.0027072
2018-02-05,0.0017128
2018-02-12,0.0019052
2018-02-19,0.0009969
2018-02-26,0.0009269
2018-03-05,0.0013395
2018-03-12,0.0016218
2018-03-19,0.0025054
2018-03-26,0.0013917
2018-04-02,0.0014435
2018-04-09,0.0019644
2018-04-16,0.0019908
2018-04-23,0.000607
2018-04-30,0.0016797
2018-05-07,0.0015889
2018-05-14,0.0007284
2018-05-21,0.0021827
2018-05-28,0.0017014
2018-06-04,0.0014895
2018-06-11,0.0019881
2018-06-18,0.0021555
2018-06-25,0.0010171
2018-07-02,0.0014536
2018-07-09,0.002719
2018-07-16,0.0014918
2018-07-23,0.001464
2018-07-30,0.0026298
2018-08-06,0.0024465
2018-08-13,0.0055989
2018-08-20,0.0226625
2018-08-27,0.0247784
2018-09-03,0.0233734
2018-09-10,0.0268664
2018-09-17,0.0227281
2018-09-24,0.0165021
2018-10-01,0.0512634
2018-10-08,0.0307694
2018-10-15,0.0283522
2018-10-22,0.0272387
2018-10-29,0.029991
2018-11-05,0.0275371
2018-11-12,0.0672366
2018-11-19,0.0153097
2018-11-26,0.0144882
2018-12-03,0.014908
2018-12-10,0.0251246
2018-12-17,0.0101639
2018-12-24,0.0025718
2018-12-31,0.0014518
2019-01-07,0.0016027
2019-01-14,0.0067357
2019-01-21,0.0074665
2019-01-28,0.0471438
2019-02-04,0.0149196
2019-02-11,0.0116059
2019-02-18,0.0192176
2019-02-25,0.0169597
2019-03-04,0.0192132
2019-03-11,0.0337268
2019-03-18,0.0466814
2019-03-25,0.029049
2019-04-01,0.023157
2019-04-08,0.0183335
2019-04-15,0.0182135
2019-04-22,0.020263
2019-04-29,0.0537588
2019-05-06,0.0455363
2019-05-13,0.0281027
2019-05-20,0.0398092
2019-05-27,0.0207463
2019-06-03,0.0365214
2019-06-10,0.0331371
2019-06-17,0.0499053
2019-06-24,0.0295289
2019-07-01,0.0213746
2019-07-08,0.0298829
2019-07-15,0.0123262
2019-07-22,0.0212271
2019-07-29,0.0571967
2019-08-05,0.0287067
2019-08-12,0.0529075
2019-08-19,0.0285055
2019-08-26,0.0193888
2019-09-02,0.0214786
2019-09-09,0.0606427
2019-09-16,0.0237164
2019-09-23,0.0598641
2019-09-30,0.0348904
2019-10-07,0.0232239
2019-10-14,0.0138158
2019-10-21,0.0189626
2019-10-28,0.0137966
2019-11-04,0.0235328
2019-11-11,0.0268297
2019-11-18,0.0147874
2019-11-25,0.0079455
2019-12-02,0.0043732
2019-12-09,0.014004
2019-12-16,0.002358
2019-12-23,0.00146
2019-12-30,0.0009176
2020-01-06,0.0035515
2020-01-13,0.0011296
2020-01-20,0.0013948
2020-01-27,0.0020445
2020-02-03,0.0011757
2020-02-10,0.0012621
2020-02-17,0.0009004
2020-02-24,0.0016168
2020-03-02,0.0025609
2020-03-09,0.0015637
2020-03-16,0.0014115
2020-03-23,0.0025793
2020-03-30,0.0015565
2020-04-06,0.0024531
2020-04-13,0.0018038
2020-04-20,0.0013469
2020-04-27,0.0119973
2020-05-04,0.0162604
2020-05-11,0.0226233
2020-05-18,0.0173125
2020-05-25,0.0228389
2020-06-01,0.0475421
2020-06-08,0.0301853
2020-06-15,0.0149528
2020-06-22,0.0231858
2020-06-29,0.0189916
2020-07-06,0.0302435
2020-07-13,0.0056126
2020-07-20,0.0021327
2020-07-27,0.0011783
2020-08-03,0.0011153
2020-08-10,0.0032761
2020-08-17,0.0013057
2020-08-24,0.0010927
2020-08-31,0.0016022
2020-09-07,0.0013812
2020-09-14,0.0013565
2020-09-21,0.0011184
2020-09-28,0.0018673
2020-10-05,0.0020193
2020-10-12,0.0031612
2020-10-19,0.0022188
2020-10-26,0.0017423
2020-11-02,0.0008689
2020-11-09,0.0015677
2020-11-16,0.0016875
2020-11-23,0.002195
2020-11-30,0.0014575
2020-12-07,0.000791
2020-12-14,0.0008656
2020-12-21,0.001092
2020-12-28,0.0008253
2021-01-04,0.0032103
2021-01-11,0.001041
2021-01-18,0.0013795
2021-01-25,0.0011202
2021-02-01,0.0013742
2021-02-08,0.006325
2021-02-15,0.0072585
2021-02-22,0.0299483
2021-03-01,0.0149933
2021-03-08,0.024221
2021-03-15,0.0529916
2021-03-22,0.0684691
2021-03-29,0.0292295
2021-04-05,0.0593925
2021-04-12,0.0178443
2021-04-19,0.0337795
2021-04-26,0.0486208
2021-05-03,0.0110404
2021-05-10,0.0031246
2021-05-17,0.0008244
2021-05-24,0.0008866
2021-05-31,0.0007464
2021-06-07,0.0008094
2021-06-14,0.0024678
2021-06-21,0.0006182
2021-06-28,0.0029287
2021-07-05,0.0013908
2021-07-12,0.0011027
2021-07-19,0.0009932
2021-07-26,0.0013453
2021-08-02,0.0014579
2021-08-09,0.0011084
2021-08-16,0.0015256
2021-08-23,0.0016569
2021-08-30,0.001582
2021-09-06,0.0032446
2021-09-13,0.0014362
2021-09-20,0.0007083
2021-09-27,0.0008026
2021-10-04,0.0009349
2021-10-11,0.0018321
2021-10-18,0.0011724
2021-10-25,0.001522
2021-11-01,0.0009744
2021-11-08,0.0009882
2021-11-15,0.0023422
2021-11-22,0.0014341
2021-11-29,0.0011244
2021-12-06,0.0021072
2021-12-13,0.0012053
2021-12-20,0.0023083
2021-12-27,0.0011761
2022-01-03,0.0023437
2022-01-10,0.0012652
2022-01-17,0.0014917
2022-01-24,0.0012545
2022-01-31,0.0012538
2022-02-07,0.0017681
2022-02-14,0.0011892
2022-02-21,0.0015558
2022-02-28,0.0016988
2022-03-07,0.0015934
2022-03-14,0.0012083
2022-03-21,0.0009309
2022-03-28,0.0015601
2022-04-04,0.001197
2022-04-11,0.0019285
2022-04-18,0.0018542
2022-04-25,0.0015363
2022-05-02,0.0009412
2022-05-09,0.0032689
2022-05-16,0.0020191
2022-05-23,0.0021096
2022-05-30,0.002448
2022-06-06,0.0010158
2022-06-13,0.0017158
2022-06-20,0.0009999
2022-06-27,0.0013613
2022-07-04,0.0018026
2022-07-11,0.0012188
2022-07-18,0.0020166
2022-07-25,0.0012803
2022-08-01,0.0019793
2022-08-08,0.0012602
2022-08-15,0.001357
2022-08-22,0.00107
2022-08-29,0.0008864
2022-09-05,0.0023995
2022-09-12,0.0013856
2022-09-19,0.0013928
2022-09-26,0.0069247
2022-10-03,0.0369267
2022-10-10,0.0227851
2022-10-17,0.0382739
2022-10-24,0.0290842
2022-10-31,0.0559115
2022-11-07,0.016759
2022-11-14,0.0218587
2022-11-21,0.0110805
2022-11-28,0.041356
2022-12-05,0.0132517
2022-12-12,0.0015067
2022-12-19,0.0008316
2022-12-26,0.0010389
2023-01-02,0.0019567
2023-01-09,0.0018982
2023-01-16,0.0013837
2023-01-23,0.0012842
2023-01-30,0.001038
2023-02-06,0.0006581
2023-02-13,0.0016934
2023-02-20,0.0011129
2023-02-27,0.0019842
2023-03-06,0.0018317
2023-03-13,0.0012813
2023-03-20,0.0026373
2023-03-27,0.0015525
2023-04-03,0.0006958
2023-04-10,0.0009471
2023-04-17,0.0016003
2023-04-24,0.0023151
2023-05-01,0.0009208
2023-05-08,0.0012324
2023-05-15,0.0025283
2023-05-22,0.0031472
2023-05-29,0.0010439
2023-06-05,0.0013381
2023-06-12,0.001684
2023-06-19,0.0014514
2023-06-26,0.0012227
2023-07-03,0.0016796
2023-07-10,0.0008812
2023-07-17,0.0011659
2023-07-24,0.0023833
2023-07-31,0.0018125
2023-08-07,0.0017853
2023-08-14,0.0010232
2023-08-21,0.0016204
2023-08-28,0.0008543
2023-09-04,0.0024417
2023-09-11,0.0017559
2023-09-18,0.0016123
2023-09-25,0.0019044
2023-10-02,0.0019838
2023-10-09,0.0008649
2023-10-16,0.0032009
2023-10-23,0.0013795
2023-10-30,0.0007474
2023-11-06,0.0006952
2023-11-13,0.0030943
2023-11-20,0.0017692
2023-11-27,0.0010311
2023-12-04,0.0015143
2023-12-11,0.001684
2023-12-18,0.0010454
2023-12-25,0.0014839
2024-01-01,0.0027034
2024-01-08,0.0010207
2024-01-15,0.0017322
2024-01-22,0.0014748
2024-01-29,0.0014793
2024-02-05,0.0021253
2024-02-12,0.002109
2024-02-19,0.0014083
2024-02-26,0.000768
2024-03-04,0.0008295
2024-03-11,0.0014982
2024-03-18,0.0020425
2024-03-25,0.0013035
2024-04-01,0.0024545
2024-04-08,0.0011138
2024-04-15,0.0021783
2024-04-22,0.000854
2024-04-29,0.0018745
2024-05-06,0.0022591
2024-05-13,0.0026968
2024-05-20,0.0013246
2024-05-27,0.0013341
2024-06-03,0.0014896
2024-06-10,0.0014551
2024-06-17,0.0008105
2024-06-24,0.0017053
2024-07-01,0.0012589
2024-07-08,0.0012199
2024-07-15,0.0010304
2024-07-22,0.0010601
2024-07-29,0.0008605
2024-08-05,0.0013364
2024-08-12,0.0012887
2024-08-19,0.0019927
2024-08-26,0.0018278
2024-09-02,0.0012552
2024-09-09,0.0027219
2024-09-16,0.0017315
2024-09-23,0.0014164
2024-09-30,0.0040328
2024-10-07,0.0015957
2024-10-14,0.0018121
2024-10-21,0.0020416
2024-10-28,0.0010694
2024-11-04,0.001427
2024-11-11,0.0018233
2024-11-18,0.0025247
2024-11-25,0.0013211
2024-12-02,0.0014154
2024-12-09,0.0011066
2024-12-16,0.0021825
